"SongPage","Title","Artist"
"song-display.html?song=Ill_Be_Gone.pdf&id=228","I'll Be Gone","Spectrum"
"song-display.html?song=Ill_Be_Back.pdf&id=227","I'll Be Back","Beatles"
"song-display.html?song=I_Just_Wanna_Dance_With_You.pdf&id=226","I Just Wanna Dance With You","John Prine"
"song-display.html?song=I_Have_A_Dream.pdf&id=225","I Have A Dream","Abba"
"song-display.html?song=I_Go_To_Pieces.pdf&id=224","I Go To Pieces","Peter and Gordon"
"song-display.html?song=I_Got_A_Woman.pdf&id=223","I Got A Woman","Ray Charles"
"song-display.html?song=I_Get_Around.pdf&id=222","I Get Around","Beach Boys"
"song-display.html?song=I_Get_A_Kick.pdf&id=221","I Get A Kick Out Of You","Gary Shearston"
"song-display.html?song=I_Fought_The_Law.pdf&id=220","I Fought The Law","Crickets"
"song-display.html?song=If_I_Had_A_Hammer.pdf&id=219","If I Had A Hammer","Peter Paul and Mary"
"song-display.html?song=I_Dont_Want_to_Set_The_World_On_Fire.pdf&id=216","I Don't Want To Set The World On Fire","Ink Spots"
"song-display.html?song=I_Dont_Like_Mondays.pdf&id=215","I Don't Like Mondays","Boomtown Rats"
"song-display.html?song=I_Did_What_I_Did_For_Maria.pdf&id=214","I Did What I Did For Maria","Tony Christie"
"song-display.html?song=Hungry_Eyes.pdf&id=212","Hungry Eyes","Eric Carmen"
"song-display.html?song=How_Can_I_Tell_You.pdf&id=211","How Can I Tell You","Cat Stevens"
"song-display.html?song=Hooked_on_a_Feeling.pdf&id=209","Hooked On A Feeling","BJ Thomas"
"song-display.html?song=Honolulu_Rock_a_Roll_a.pdf&id=208","Honolulu Rock-a Roll-a","Moon Mullican"
"song-display.html?song=Hold_Me_Tight.pdf&id=205","Hold Me Tight","Johnny Nash"
"song-display.html?song=Hide_in_Your_Shell.pdf&id=204","Hide In Your Shell","Supertramp"
"song-display.html?song=Hey_Jude.pdf&id=203","Hey Jude","Beatles"
"song-display.html?song=Here_Comes_Santa_Claus.pdf&id=202","Here Comes Santa Claus","Gene Autrey Christmas"
"song-display.html?song=Help_Me_Rhonda.pdf&id=201","Help Me Rhonda","Beach Boys"
"song-display.html?song=Help_Me_Make_It_Through_The_Night.pdf&id=200","Help Me Make It Through The Night","Kris Kristofferson"
"song-display.html?song=Hello_Mary_Lou.pdf&id=199","Hello Mary Lou","Rick Nelson"
"song-display.html?song=Hello_In_There.pdf&id=198","Hello In There","John Prine"
"song-display.html?song=Heart_Of_Gold_Am.pdf&id=196","Heart of Gold","Neil Young"
"song-display.html?song=He_Aint_Heavy.pdf&id=195","He Ain't Heavy...He's My Brother","Hollies"
"song-display.html?song=Hawaii.pdf&id=194","Hawaii","Beach Boys"
"song-display.html?song=Have_You_Ever_Seen_The_Rain.pdf&id=193","Have You Ever Seen The Rain","Creedence Clearwater Revival"
"song-display.html?song=Harvest_Moon.pdf&id=192","Harvest Moon","Neil Young"
"song-display.html?song=Hard_Times_Come_Again_No_More.pdf&id=191","Hard Times Come Again No More","Stephen Foster"
"song-display.html?song=Happy_Xmas.pdf&id=190","Happy Xmas (War Is Over)","John Lennon"
"song-display.html?song=Happy_Together.pdf&id=189","Happy Together","Turtles"
"song-display.html?song=Hangin_Five.pdf&id=188","Hangin' Five","Delltones"
"song-display.html?song=Handle_With_Care.pdf&id=187","Handle With Care","Travelling Wilburys"
"song-display.html?song=Hallelujah_F.pdf&id=186","Hallelujah","Leonard Cohen"
"song-display.html?song=Hallelujah_C.pdf&id=185","Hallelujah","Leonard Cohen"
"song-display.html?song=Gypsy_Queen.pdf&id=184","Gypsy Queen","Country Radio"
"song-display.html?song=Guantanamera.pdf&id=183","Guantanamera","Weavers"
"song-display.html?song=Groovin.pdf&id=182","Groovin'","Young Rascals"
"song-display.html?song=Grey_Haired_Chord_Basher.pdf&id=181","Grey Haired Chord Basher","Richard G (apologies to Wheatus)"
"song-display.html?song=Gotta_Lot_Of_Rhythm_In_My_Soul.pdf&id=180","Gotta Lot Of Rhythm In My Soul","Patsy Cline"
"song-display.html?song=Good_Vibrations.pdf&id=179","Good Vibrations","Beach Boys"
"song-display.html?song=Good_Riddance_G.pdf&id=178","Good Riddance","Green Day"
"song-display.html?song=Goodnight_Sweetheart.pdf&id=176","Goodnight Sweetheart","Spaniels"
"song-display.html?song=Goodnight_Sweetheart_C.pdf&id=175","Goodnight Sweetheart","Spaniels"
"song-display.html?song=Goodnight_Irene.pdf&id=174","Goodnight Irene","Huddie Ledbetter (Leadbelly)"
"song-display.html?song=Good_Morning_Starshine.pdf&id=173","Good Morning Starshine","Oliver"
"song-display.html?song=Golden_Brown.pdf&id=172","Golden Brown","Stranglers"
"song-display.html?song=God_Only_Knows.pdf&id=170","God Only Knows","Beach Boys"
"song-display.html?song=Girl_From_Ipanema.pdf&id=169","Girl From Ipanema",""
"song-display.html?song=Ginger_Man.pdf&id=168","Ginger Man","Brian Cadd"
"song-display.html?song=Gimme.pdf&id=167","Gimme Gimme Gimme","Abba"
"song-display.html?song=Ghost_Riders_In_The_Sky.pdf&id=166","Ghost Riders in the Sky","Vaughan Monroe"
"song-display.html?song=Get_Together.pdf&id=165","Get Together","Youngbloods"
"song-display.html?song=Georgy_Girl.pdf&id=164","Georgy Girl","Seekers"
"song-display.html?song=Fun_Fun_Fun.pdf&id=163","Fun Fun Fun","Beach Boys"
"song-display.html?song=Frosty_The_Snowman.pdf&id=162","Frosty The Snowman","Trad Christmas"
"song-display.html?song=From_Great_Heights.pdf&id=161","From Great Heights","Iron and Wine"
"song-display.html?song=Freight_Train.pdf&id=160","Freight Train","Mike Seeger"
"song-display.html?song=Free_The_People.pdf&id=159","Free The People","Barbara Keith"
"song-display.html?song=Frank_and_Jesse_James.pdf&id=158","Frank and Jesse James","Warren Zevon"
"song-display.html?song=409.pdf&id=157","409","Beach Boys"
"song-display.html?song=For_No_One.pdf&id=155","For No One","Beatles"
"song-display.html?song=Folsom_Prison_Blues.pdf&id=154","Folsom Prison Blues","Johnny Cash"
"song-display.html?song=Fly_Me_To_The_Moon.pdf&id=153","Fly Me To The Moon",""
"song-display.html?song=Flowers_On_The_Wall.pdf&id=152","Flowers On The Wall","Statler Brothers"
"song-display.html?song=500_Miles.pdf&id=151","Five Hundred Miles","Peter Paul and Mary"
"song-display.html?song=Fishermans_Blues.pdf&id=150","Fisherman's Blues","Waterboys"
"song-display.html?song=First_We_Take_Manhattan.pdf&id=149","First We Take Manhattan","Leonard Cohen"
"song-display.html?song=Fire_and_Rain.pdf&id=148","Fire and Rain","James Taylor"
"song-display.html?song=Feeling_Good.pdf&id=147","Feeling Good","Nina Simone"
"song-display.html?song=Famous_Blue_Raincoat.pdf&id=146","Famous Blue Raincoat","Leonard Cohen"
"song-display.html?song=Fake_Plastic_Trees.pdf&id=145","Fake Plastic Trees","Radiohead"
"song-display.html?song=Everybodys_Talking.pdf&id=144","Everybody's Talking","Harry Nilsson"
"song-display.html?song=Every_Day.pdf&id=143","Every Day","Buddy Holly"
"song-display.html?song=Evil_Ways.pdf&id=142","Evil Ways","Santana"
"song-display.html?song=Eve_of_Destruction.pdf&id=141","Eve Of Destruction","Barry McGuire"
"song-display.html?song=End_Of_The_Line.pdf&id=140","End Of The Line","Traveling Wilburys"
"song-display.html?song=Eight_Days_A_Week.pdf&id=139","Eight Days A Week","Beatles"
"song-display.html?song=Egyptian_Reggae.pdf&id=138","Egyptian Reggae","Jonathan Richman"
"song-display.html?song=Early_In_The_Morning.pdf&id=137","Early In The Morning","Peter Paul and Mary"
"song-display.html?song=Dreams_Are_Ten_A_Penny.pdf&id=136","Dreams Are Ten A Penny","Kincade"
"song-display.html?song=Dreaming_My_Dreams_With_You.pdf&id=135","Dreaming My Dreams With You","Waylon Jennings"
"song-display.html?song=Dreaming_My_Dreams_With_You_G.pdf&id=134","Dreaming My Dreams With You","Waylon Jennings"
"song-display.html?song=Dream_Baby.pdf&id=133","Dream Baby","Roy Orbison"
"song-display.html?song=DREAM_A_LITTLE_DREAM_OF_ME.pdf&id=132","Dream A Little Dream Of Me","Mamas and the Papas"
"song-display.html?song=Dreadlock_Holiday.pdf&id=131","Dreadlock Holiday","10cc"
"song-display.html?song=Down_to_my_Last_Cigarette.pdf&id=130","Down To My Last Cigarette","Billy Walker"
"song-display.html?song=Dont_Worry_Baby.pdf&id=129","Don't Worry Baby","Beach Boys"
"song-display.html?song=Dont_Fence_Me_In.pdf&id=126","Don't Fence Me In","Roy Rogers"
"song-display.html?song=Dont_Dream_Its_Over.pdf&id=125","Don't Dream It's Over","Crowded House"
"song-display.html?song=Dont_Cross_The_River.pdf&id=124","Don't Cross The River","America"
"song-display.html?song=Dont_Come_The_Cowboy.pdf&id=123","Don't  Come The Cowboy With Me Sonny Jim","Kirsty McColl"
"song-display.html?song=Do_It_Again.pdf&id=122","Do It Again","Beach Boys"
"song-display.html?song=Dizzy.pdf&id=120","Dizzy","Tommy Roe"
"song-display.html?song=Dirty_Old_Town.pdf&id=119","Dirty Old Town","Pogues"
"song-display.html?song=Different_Drum.pdf&id=118","Different  Drum","Stone Poneys"
"song-display.html?song=Desperado.pdf&id=117","Desperado","Eagles"
"song-display.html?song=Dear_Prudence.pdf&id=116","Dear Prudence","Beatles"
"song-display.html?song=Dead_Flowers.pdf&id=115","Dead Flowers","Rolling Stones"
"song-display.html?song=Daydream_Believer.pdf&id=114","Daydream Believer","Monkees"
"song-display.html?song=Dark_End_of_the_Street.pdf&id=113","Dark End of the Street","James Carr"
"song-display.html?song=Danny_Boy.pdf&id=112","Danny Boy","Mario Lanza"
"song-display.html?song=Dance_Me_To_The_End_Of_Love.pdf&id=111","Dance Me To The End Of Love","Leonard Cohen"
"song-display.html?song=Cupid.pdf&id=110","Cupid","Sam Cooke"
"song-display.html?song=Crying_In_The_Rain.pdf&id=109","Crying In The Rain","Everly Brothers"
"song-display.html?song=Crippled_Inside.pdf&id=108","Crippled Inside","John Lennon"
"song-display.html?song=Creep.pdf&id=107","Creep","Radiohead"
"song-display.html?song=Crazy_Little_Thing_Called_Love.pdf&id=106","Crazy Little Thing Called Love","Queen"
"song-display.html?song=Country_Honk.pdf&id=104","Country Honk","Rolling Stones"
"song-display.html?song=Conquistador.pdf&id=103","Conquistador","Procol Harum"
"song-display.html?song=Come_Back_Again_F.pdf&id=101","Come Back Again","Daddy Cool"
"song-display.html?song=Come_Back_Again_A.pdf&id=100","Come Back Again","Daddy Cool"
"song-display.html?song=Come_Away_Melinda.pdf&id=99","Come Away Melinda","Fred Hellerman"
"song-display.html?song=Coin_Operated_Boy.pdf&id=98","Coin Operated Boy","Dresden Dolls"
"song-display.html?song=Choir_Girl.pdf&id=97","Choir Girl","Cold Chisel"
"song-display.html?song=Chiquitita.pdf&id=96","Chiquitita","Abba"
"song-display.html?song=Chippy_Tea.pdf&id=95","Chippy Tea","Lancashire Hotpots"
"song-display.html?song=Chelsea_Hotel.pdf&id=94","Chelsea Hotel #2","Leonard Cohen"
"song-display.html?song=Chanson_dAmour.pdf&id=93","Chanson d'Amour","Manhattan Transfer"
"song-display.html?song=Changes.pdf&id=92","Changes","David Bowie"
"song-display.html?song=Celluloid_Heroes.pdf&id=91","Celluloid Heroes","Kinks"
"song-display.html?song=Cathys_clown.pdf&id=89","Cathy's Clown","Everly Brothers"
"song-display.html?song=Catch_the_Wind.pdf&id=88","Catch The Wind","Donovan"
"song-display.html?song=Catch_A_Wave.pdf&id=87","Catch A Wave","Beach Boys"
"song-display.html?song=Carmelita.pdf&id=86","Carmelita","Warren Zevon"
"song-display.html?song=Captain_Zero.pdf&id=85","Captain Zero","Mixtures"
"song-display.html?song=Cant_Help_Falling_In_Love.pdf&id=84","Can't Help Falling In Love","Elvis Presley"
"song-display.html?song=California_Girls.pdf&id=83","California Girls","Beach Boys"
"song-display.html?song=California_Dreaming.pdf&id=82","California Dreaming","Mamas and the Papas"
"song-display.html?song=By_The_Time_I_Get_To_Phoenix.pdf&id=81","By TheTime I Get To Phoenix","Glen Campbell"
"song-display.html?song=BYE_BYE_LOVE.pdf&id=80","Bye Bye Love","Everly Brothers"
"song-display.html?song=Buenas_Tardes_Amigo.pdf&id=78","Buenas Tardes Amigo","Ween"
"song-display.html?song=Brown_Eyed_Girl.pdf&id=77","Brown Eyed Girl","Van Morrison"
"song-display.html?song=Brother_Can_You_Spare_A_Dime.pdf&id=76","Brother Can You Spare A Dime",""
"song-display.html?song=Bring_It_On_Home_To_Me.pdf&id=75","Bring It On Home To Me","Sam Cooke"
"song-display.html?song=Bridge_over_troubled_water.pdf&id=74","Bridge Over Troubled Water","Simon and Garfunkel"
"song-display.html?song=Breakaway.pdf&id=73","Breakaway","Beach Boys"
"song-display.html?song=Brazos_River.pdf&id=72","Brazos River",""
"song-display.html?song=Brand_New_Spaces.pdf&id=71","Brand New Spaces","Michael Bernard Fitzgerald"
"song-display.html?song=Brand_New_Key.pdf&id=70","Brand New Key","Melanie Safka"
"song-display.html?song=born_free.pdf&id=69","Born Free","Matt Monro"
"song-display.html?song=Bobbys_Girl.pdf&id=67","Bobby's Girl","Marcie Blaine"
"song-display.html?song=blue_moon.pdf&id=66","Blue Moon",""
"song-display.html?song=Blue_Hawaii.pdf&id=65","Blue Hawaii","Elvis Presley"
"song-display.html?song=blueberry_hill.pdf&id=64","Blueberry Hill","Fats Domino"
"song-display.html?song=blue_bayou.pdf&id=63","Blue Bayou","Roy Orbison"
"song-display.html?song=Blitzkrieg_Bop.pdf&id=62","Blitzkrieg Bop","Ramones"
"song-display.html?song=Blinded_By_The_Light.pdf&id=61","Blinded By TheLight","Manfred Mann"
"song-display.html?song=blame_it_on_the_bossa_nova.pdf&id=60","Blame It On The Bossa Nova","Eydie Gorme"
"song-display.html?song=Black_is_Black.pdf&id=59","Black Is Black","Los Bravos"
"song-display.html?song=Bird_on_the_Wire.pdf&id=58","Bird On The Wire","Leonard Cohen"
"song-display.html?song=Big_Rock_Candy_Mountain.pdf&id=57","Big Rock Candy Mountain",""
"song-display.html?song=Beware_Oh_Take_Care.pdf&id=56","Beware Oh Take Care","Blind Alfred Reed"
"song-display.html?song=Better_Be_Home_Soon.pdf&id=55","Better Be Home Soon","Crowded House"
"song-display.html?song=be_true_to_your_school_G.pdf&id=54","Be True To Your School","Beach Boys"
"song-display.html?song=Be_True_To_Your_School.pdf&id=53","Be True To Your School","Beach Boys"
"song-display.html?song=be_true_to_your_school_A.pdf&id=52","Be True ToYour School","Beach Boys"
"song-display.html?song=Behind_Blue_Eyes.pdf&id=51","Behind Blue Eyes","Who"
"song-display.html?song=Beach_Boy_Blues.pdf&id=50","Beach Boy Blues","Elvis Presley"
"song-display.html?song=Barbara_Ann.pdf&id=49","Barbara Ann","Beach Boys"
"song-display.html?song=Banks_of_Marble.pdf&id=48","Banks of Marble","Pete Seeger"
"song-display.html?song=Bad_Moon_Rising.pdf&id=47","Bad Moon Rising","Creedence Clearwater Revival"
"song-display.html?song=back_home_again.pdf&id=45","Back Home Again","John Denver"
"song-display.html?song=Baby_I_Love_You.pdf&id=44","Baby I Love You","Andy Kim"
"song-display.html?song=baby_face.pdf&id=43","Baby Face","Little Richard"
"song-display.html?song=A_World_of_Our_Own.pdf&id=42","A World Of Our Own","Seekers"
"song-display.html?song=Whiter_Shade_Of_Pale.pdf&id=41","A Whiter Shade Of Pale","Procol Harum"
"song-display.html?song=Well_Respected_Man.pdf&id=40","A Well Respected Man","Kinks"
"song-display.html?song=As_Tears_Go_By.pdf&id=39","As Tears Go By","Marianne Faithfull"
"song-display.html?song=asshole.pdf&id=38","Asshole","Dennis Leary"
"song-display.html?song=armstrong.pdf&id=37","Armstrong","Reg Lindsay"
"song-display.html?song=aquarius.pdf&id=35","Aquarius","Fifth Dimension"
"song-display.html?song=Another_Day.pdf&id=34","Another Day","Paul McCartney"
"song-display.html?song=Another_Brick_in_the_Wall.pdf&id=33","Another Brick in the Wall","Pink Floyd"
"song-display.html?song=anna.pdf&id=32","Anna (Go To Him)","Beatles"
"song-display.html?song=angie.pdf&id=31","Angie","Rolling Stones"
"song-display.html?song=Angel_of_the_Morning.pdf&id=30","Angel Of The Morning","Merrilee Rush and the Turnabouts"
"song-display.html?song=And_She_Was.pdf&id=29","And She Was","Talking Heads"
"song-display.html?song=And_I_Love_Her.pdf&id=28","And I Love Her","Beatles"
"song-display.html?song=A_Message_To_You_Rudy.pdf&id=27","A Message To You Rudy","Dandy Livingstone"
"song-display.html?song=america.pdf&id=26","America","Simon and Garfunkel"
"song-display.html?song=Amazing_Glow.pdf&id=25","Amazing Glow","Pernice Brothers"
"song-display.html?song=Alma_Mater.pdf&id=24","Alma Mater","Alice Cooper"
"song-display.html?song=All_My_Loving.pdf&id=23","All My Loving","Beatles"
"song-display.html?song=All_I_Want_For_Christmas_Is_You.pdf&id=22","All I Want For Christmas Is You","Mariah Carey"
"song-display.html?song=Algorithm_March.pdf&id=21","Algorithm March","Pythagoras Switch"
"song-display.html?song=Aint_No_Sunshine.pdf&id=19","Ain't No Sunshine","Bill Withers"
"song-display.html?song=aint_no_cure_for_love.pdf&id=18","Ain't No Cure For Love","Leonard Cohen"
"song-display.html?song=Aint_No_Cure_For_Love_C.pdf&id=17","Ain't No Cure For Love","Leonard Cohen"
"song-display.html?song=after_the_goldrush.pdf&id=16","After The Goldrush","Neil Young"
"song-display.html?song=after_hours.pdf&id=15","After Hours","Velvet Underground"
"song-display.html?song=Across_the_Universe.pdf&id=14","Across The Universe","Beatles"
"song-display.html?song=Across_the_Universe_C.pdf&id=13","Across The Universe","Beatles"
"song-display.html?song=Ruby_Tuesday.pdf&id=8","Ruby Tuesday","Rolling Stones"
